	Locations	Locations_Group	Fishname	location_sampletype	Locationtype_fishtype	sampletype_speciestype	Diet	Habitats
S283	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S286	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S287	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S288	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S289	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S290	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S291	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S292	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S293	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S294	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S295	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S296	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S297	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S298	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S299	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S300	Lake_Erie	2	Walleye	Lake_ErieSkin	Lake_ErieWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S301	Lake_Erie	2	White_Bass	Lake_ErieSkin	Lake_ErieWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S302	Lake_Erie	2	Round_Goby	Lake_ErieSkin	Lake_ErieRound_Goby	SkinRound_Goby	Invertivore	Benthic
S303	Lake_Erie	2	Round_Goby	Lake_ErieSkin	Lake_ErieRound_Goby	SkinRound_Goby	Invertivore	Benthic
S304	Lake_Erie	2	Round_Goby	Lake_ErieSkin	Lake_ErieRound_Goby	SkinRound_Goby	Invertivore	Benthic
S305	Lake_Erie	2	Round_Goby	Lake_ErieSkin	Lake_ErieRound_Goby	SkinRound_Goby	Invertivore	Benthic
S306	Lake_Erie	2	Round_Goby	Lake_ErieSkin	Lake_ErieRound_Goby	SkinRound_Goby	Invertivore	Benthic
S307	Lake_Erie	2	Yellow_Perch	Lake_ErieSkin	Lake_ErieYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S308	Lake_Erie	2	Yellow_Perch	Lake_ErieSkin	Lake_ErieYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S309	Lake_Erie	2	Yellow_Perch	Lake_ErieSkin	Lake_ErieYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S310	Lake_Erie	2	Yellow_Perch	Lake_ErieSkin	Lake_ErieYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S311	Lake_Erie	2	Yellow_Perch	Lake_ErieSkin	Lake_ErieYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S312	Lake_Erie	2	Yellow_Perch	Lake_ErieSkin	Lake_ErieYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S313	Lake_Erie	2	Yellow_Perch	Lake_ErieSkin	Lake_ErieYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S314	Lake_Erie	2	Yellow_Perch	Lake_ErieSkin	Lake_ErieYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S315	Lake_Erie	2	White_Bass	Lake_ErieSkin	Lake_ErieWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S316	Lake_Erie	2	White_Bass	Lake_ErieSkin	Lake_ErieWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S317	Lake_Erie	2	White_Bass	Lake_ErieSkin	Lake_ErieWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S318	Lake_Erie	2	Walleye	Lake_ErieSkin	Lake_ErieWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S319	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S320	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S321	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S322	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S323	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S324	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S325	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S327	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S328	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S329	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S330	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S331	Lake_Erie	2	Freshwater_Drum	Lake_ErieSkin	Lake_ErieFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S332	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S333	Lake_Erie	2	White_Perch	Lake_ErieSkin	Lake_ErieWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
