Sample_Id	Locations	Fishname	Diet	Habitats	Weight_Log_Transformed	faith_pd	chao1	shannon_entropy	lOG_Chao1	log_PD	Shannon_Log	  Axis 1	   Axis 2	   Axis 3	  Axis 4	   Axis 5	Lake_Water_Tem
142	3	15	4	2	2.49	18.94492198	125	5.322112099	2.1	1.28	0.73	-3.3247	11.811	-3.0282	11.438	7.392	22
143	3	14	4	2	2.77	15.59562299	72	4.632121135	1.86	1.19	0.67	8.06	21.095	-30.203	9.4839	1.3009	22
144	3	9	4	2	2.55	10.01012597	48	3.964146723	1.68	1	0.6	4.0491	27.072	15.265	1.4085	20.491	22
145	3	15	4	2	2.49	9.037336695	56	2.354336921	1.75	0.96	0.37	-27.281	14.942	20.274	8.4599	9.9909	22
146	3	13	4	2	3.18	13.77326829	100	4.548948316	2	1.14	0.66	-38.581	18.554	13.195	14.383	-2.6557	22
147	3	9	4	2	2.52	21.53975369	136	5.012722251	2.13	1.33	0.7	-10.224	13.274	21.323	3.9679	5.3014	22
148	3	15	4	2	2.5	12.72512802	98	4.165393653	1.99	1.1	0.62	-40.137	17.249	18.46	18.251	0.60538	22
149	3	15	4	2	2.5	6.55180311	58	3.895426376	1.76	0.82	0.59	-23.063	30.267	9.6066	-2.136	1.5902	22
150	3	15	4	2	3.25	18.84886678	123	5.87993443	2.09	1.28	0.77	-5.8605	9.1103	23.309	-8.009	7.8467	22
151	3	9	4	2	2.54	17.65447308	90	5.377293957	1.95	1.25	0.73	3.1833	-19.869	21.679	-2.3732	5.9092	22
152	3	17	4	2	2.55	12.97560762	87	5.082069126	1.94	1.11	0.71	-27.05	37.568	16.357	4.3427	2.627	22
153	3	13	4	2	3.53	36.15653805	257	6.778558612	2.41	1.56	0.83	-8.556	4.4936	15.977	3.7108	-1.0897	22
154	3	15	4	2	2.78	14.79060113	124	5.416530855	2.09	1.17	0.73	-35.176	19.205	2.155	6.2419	5.2521	22
155	3	15	4	2	2.88	13.84439404	108	4.759739101	2.03	1.14	0.68	-11.841	16.573	-12.979	-30.334	-2.2312	22
156	3	15	4	2	4.81	10.94469025	87	4.447262859	1.94	1.04	0.65	-36.712	15.974	16.533	15.996	0.32121	22
157	3	15	4	2	3.27	8.278092892	54	4.505418948	1.73	0.92	0.65	-5.9271	36.113	16.28	-3.6752	12.555	22
158	3	6	4	1	3.19	12.48658765	96	3.930910371	1.98	1.1	0.59	-44.816	10.236	17.244	18.221	-1.0444	22
159	3	13	4	2	3.76	5.887391171	53	4.512268446	1.72	0.77	0.65	-21.362	42.525	14.97	9.2309	-0.098448	22
160	3	6	4	1	3.08	20.41337158	131	3.962165511	2.12	1.31	0.6	-39.749	10.683	15.947	17.647	-0.22368	22
161	3	6	4	1	3.19	13.61871944	99	4.545295884	2	1.13	0.66	-38.083	-4.9712	2.5252	20.621	-5.4146	22
162	3	14	4	2	3.13	11.96399305	110	4.75913277	2.04	1.08	0.68	-29.678	19.323	8.7202	-9.2725	1.3183	22
163	3	8	6	2	4.81	10.18193339	74	4.453405008	1.87	1.01	0.65	-13.404	17.197	-20.014	-33.977	-4.7817	22
164	3	14	4	2	2.95	11.20503729	61	5.010782032	1.79	1.05	0.7	-25.361	26.6	6.945	-15.134	3.5949	22
165	3	14	4	2	3.08	10.93187467	77	4.837312079	1.89	1.04	0.68	-27.158	42.478	10.499	-1.7474	0.11898	22
166	3	9	4	2	2.7	24.50640265	150	5.815558127	2.18	1.39	0.76	-30.197	16.092	8.1799	-0.59511	-4.2815	22
167	3	14	4	2	2.81	17.94590127	98	5.146714136	1.99	1.25	0.71	6.8553	25.514	6.119	11.295	15.886	22
168	3	14	4	2	2.82	15.90111819	110	5.812069474	2.04	1.2	0.76	-17.315	20.605	17.428	-4.9191	10.339	22
169	3	14	4	2	2.85	25.37669673	197	6.746090483	2.29	1.4	0.83	-21.414	24.606	4.3061	7.2666	-2.5584	22
170	3	8	6	2	4.81	6.769765345	32	2.363052609	1.51	0.83	0.37	-15.153	2.2833	-21.356	-28.686	-1.8211	22
171	3	4	6	2	4.16	9.438734407	62	4.94213222	1.79	0.97	0.69	-32.386	-10.194	-4.2924	-15.988	6.8874	22
172	3	4	6	2	4.45	12.66458839	56	3.729398118	1.75	1.1	0.57	-25.286	-18.61	-12.65	-14.377	6.2576	22
173	3	11	2	1	2.56	16.77991175	87	4.348053939	1.94	1.22	0.64	-41.38	-19.186	-0.26795	6.9256	-3.2661	22
174	3	13	4	2	4.12	5.167987446	36	3.811864087	1.56	0.71	0.58	-26.918	15.446	8.8648	2.9746	3.8077	22
175	3	13	4	2	4.37	7.664286594	43	4.169074982	1.63	0.88	0.62	-26.878	46.224	15.309	11.546	1.7728	22
176	3	8	6	2	4.81	6.961514218	30	3.988614085	1.48	0.84	0.6	-3.3407	14.732	-15.002	-22.678	7.2552	22
177	3	4	6	2	4.43	9.073574192	58	4.560831441	1.76	0.96	0.66	-41.469	-16.851	-1.2086	9.5072	-1.5183	22
178	3	8	6	2	4.78	12.4729384	66	3.425354043	1.82	1.1	0.53	1.1767	-7.7279	-4.907	-15.217	8.0377	22
179	3	8	6	2	4.54	6.206247606	28	3.244664582	1.45	0.79	0.51	-26.123	-33.922	-15.342	-0.89429	6.0388	22
180	3	8	6	2	4.55	8.635918061	66	4.630027944	1.82	0.94	0.67	-15.783	0.37835	-20.321	-34.195	-3.2882	22
181	3	17	4	2	2.99	18.13914928	94	5.317561365	1.97	1.26	0.73	-22.726	21.756	-0.068964	-20.333	2.3874	22
182	3	4	6	2	4.23	10.47515017	45	4.429908871	1.65	1.02	0.65	-26.46	-5.2953	-10.482	-18.115	3.4621	22
183	3	4	6	2	4.42	6.816286391	61	4.832106631	1.79	0.83	0.68	-42.16	0.44685	10.053	6.2153	2.2554	22
184	3	13	4	2	4.7	6.54820824	35	3.0465028	1.54	0.82	0.48	-17.951	33.667	3.7937	5.5464	1.4465	22
185	3	8	6	2	4.24	6.275077362	31	2.860035015	1.49	0.8	0.46	-3.2388	19.263	-24.968	-35.79	0.22091	22
186	3	8	6	2	4.81	9.383446813	55	3.573462575	1.74	0.97	0.55	10.67	13.342	2.3896	-28.171	13.362	22
187	3	4	6	2	4.44	7.796035581	43	3.922187147	1.63	0.89	0.59	-20.085	14.141	3.2333	-17.482	10.777	22
188	3	4	6	2	4.45	9.524136108	65	4.581660314	1.81	0.98	0.66	-25.095	-8.9388	3.913	3.7893	10.876	22
189	3	4	6	2	4.36	4.492675983	17	2.934936454	1.23	0.65	0.47	-31.003	-31.518	-15.787	8.2681	-0.52416	22
190	3	8	6	2	4.42	5.081743766	34	4.091434032	1.53	0.71	0.61	-40.052	-23.596	-0.26727	13.396	-1.3632	22
191	3	4	6	2	4.17	16.25849621	99	5.323294551	2	1.21	0.73	-19.08	-6.5996	10.665	-5.8308	9.6622	22
192	3	17	4	2	2.97	18.47726496	86	3.752648293	1.93	1.27	0.57	-29.456	38.452	15.891	6.6357	1.6676	22
193	3	6	4	1	3.18	13.97925411	80	5.089964915	1.9	1.15	0.71	-5.7219	-16.06	17.275	-7.6413	13.479	22
194	3	6	4	1	3.22	9.797419732	56	4.131366367	1.75	0.99	0.62	-41.787	8.9817	17.876	9.0532	5.6243	22
195	3	6	4	1	3.08	6.365508675	25	3.189195538	1.4	0.8	0.5	5.9366	18.449	-28.269	8.0036	10.771	22
196	3	6	4	1	3.26	15.22316968	108	4.147817122	2.03	1.18	0.62	-41.674	5.1057	10.502	12.759	0.65605	22
197	3	6	4	1	3.85	7.487677274	72	4.913315658	1.86	0.87	0.69	-37.716	6.6823	4.8042	-8.338	3.9471	22
